Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]"
2000,YR2000,"Egypt, Arab Rep.",EGY,71371371
2000,YR2000,Nigeria,NGA,122851984
2000,YR2000,South Africa,ZAF,46813266
2000,YR2000,Algeria,DZA,30774621
2000,YR2000,Ethiopia,ETH,67031867
2000,YR2000,Morocco,MAR,28554415
2000,YR2000,Kenya,KEN,30851606
2000,YR2000,Angola,AGO,16394062
2000,YR2000,Tanzania,TZA,34463704
2000,YR2000,Cote d'Ivoire,CIV,16799670
2000,YR2000,Ghana,GHA,19665502
2000,YR2000,"Congo, Dem. Rep.",COD,48616317
2000,YR2000,Uganda,UGA,24020697
2000,YR2000,Tunisia,TUN,9893316
2000,YR2000,Cameroon,CMR,15091594
2000,YR2000,Zimbabwe,ZWE,11834676
2000,YR2000,Libya,LBY,5154790
2000,YR2000,Senegal,SEN,9704287
2000,YR2000,Zambia,ZMB,9891136
2000,YR2000,Sudan,SDN,26298773
2001,YR2001,"Egypt, Arab Rep.",EGY,72854261
2001,YR2001,Nigeria,NGA,126152678
2001,YR2001,South Africa,ZAF,47229714
2001,YR2001,Algeria,DZA,31200985
2001,YR2001,Ethiopia,ETH,69018932
2001,YR2001,Morocco,MAR,28930097
2001,YR2001,Kenya,KEN,31800343
2001,YR2001,Angola,AGO,16941587
2001,YR2001,Tanzania,TZA,35414469
2001,YR2001,Cote d'Ivoire,CIV,17245468
2001,YR2001,Ghana,GHA,20195577
2001,YR2001,"Congo, Dem. Rep.",COD,50106657
2001,YR2001,Uganda,UGA,24763325
2001,YR2001,Tunisia,TUN,9995123
2001,YR2001,Cameroon,CMR,15493253
2001,YR2001,Zimbabwe,ZWE,11910978
2001,YR2001,Libya,LBY,5275916
2001,YR2001,Senegal,SEN,9938027
2001,YR2001,Zambia,ZMB,10191964
2001,YR2001,Sudan,SDN,26947253
2002,YR2002,"Egypt, Arab Rep.",EGY,74393759
2002,YR2002,Nigeria,NGA,129583026
2002,YR2002,South Africa,ZAF,47661514
2002,YR2002,Algeria,DZA,31624696
2002,YR2002,Ethiopia,ETH,71073215
2002,YR2002,Morocco,MAR,29301817
2002,YR2002,Kenya,KEN,32779823
2002,YR2002,Angola,AGO,17516139
2002,YR2002,Tanzania,TZA,36353531
2002,YR2002,Cote d'Ivoire,CIV,17683897
2002,YR2002,Ghana,GHA,20758326
2002,YR2002,"Congo, Dem. Rep.",COD,51662071
2002,YR2002,Uganda,UGA,25545090
2002,YR2002,Tunisia,TUN,10094561
2002,YR2002,Cameroon,CMR,15914033
2002,YR2002,Zimbabwe,ZWE,11984644
2002,YR2002,Libya,LBY,5405326
2002,YR2002,Senegal,SEN,10180950
2002,YR2002,Zambia,ZMB,10508294
2002,YR2002,Sudan,SDN,27570318
2003,YR2003,"Egypt, Arab Rep.",EGY,75963322
2003,YR2003,Nigeria,NGA,133119801
2003,YR2003,South Africa,ZAF,48104048
2003,YR2003,Algeria,DZA,32055883
2003,YR2003,Ethiopia,ETH,73168838
2003,YR2003,Morocco,MAR,29661270
2003,YR2003,Kenya,KEN,33767122
2003,YR2003,Angola,AGO,18124342
2003,YR2003,Tanzania,TZA,37333918
2003,YR2003,Cote d'Ivoire,CIV,18116451
2003,YR2003,Ghana,GHA,21329514
2003,YR2003,"Congo, Dem. Rep.",COD,53205639
2003,YR2003,Uganda,UGA,26354736
2003,YR2003,Tunisia,TUN,10193798
2003,YR2003,Cameroon,CMR,16354326
2003,YR2003,Zimbabwe,ZWE,12075828
2003,YR2003,Libya,LBY,5542641
2003,YR2003,Senegal,SEN,10434504
2003,YR2003,Zambia,ZMB,10837973
2003,YR2003,Sudan,SDN,28188977
2004,YR2004,"Egypt, Arab Rep.",EGY,77522427
2004,YR2004,Nigeria,NGA,136756848
2004,YR2004,South Africa,ZAF,48556071
2004,YR2004,Algeria,DZA,32510186
2004,YR2004,Ethiopia,ETH,75301026
2004,YR2004,Morocco,MAR,30033125
2004,YR2004,Kenya,KEN,34791836
2004,YR2004,Angola,AGO,18771125
2004,YR2004,Tanzania,TZA,38360879
2004,YR2004,Cote d'Ivoire,CIV,18544903
2004,YR2004,Ghana,GHA,21906444
2004,YR2004,"Congo, Dem. Rep.",COD,54815607
2004,YR2004,Uganda,UGA,27146084
2004,YR2004,Tunisia,TUN,10292225
2004,YR2004,Cameroon,CMR,16809407
2004,YR2004,Zimbabwe,ZWE,12160881
2004,YR2004,Libya,LBY,5687563
2004,YR2004,Senegal,SEN,10698691
2004,YR2004,Zambia,ZMB,11188040
2004,YR2004,Sudan,SDN,28831550
2005,YR2005,"Egypt, Arab Rep.",EGY,79075310
2005,YR2005,Nigeria,NGA,140490722
2005,YR2005,South Africa,ZAF,49017147
2005,YR2005,Algeria,DZA,32956690
2005,YR2005,Ethiopia,ETH,77469940
2005,YR2005,Morocco,MAR,30431902
2005,YR2005,Kenya,KEN,35843010
2005,YR2005,Angola,AGO,19450959
2005,YR2005,Tanzania,TZA,39439505
2005,YR2005,Cote d'Ivoire,CIV,18970215
2005,YR2005,Ghana,GHA,22496951
2005,YR2005,"Congo, Dem. Rep.",COD,56550247
2005,YR2005,Uganda,UGA,27946588
2005,YR2005,Tunisia,TUN,10388344
2005,YR2005,Cameroon,CMR,17275171
2005,YR2005,Zimbabwe,ZWE,12224753
2005,YR2005,Libya,LBY,5837986
2005,YR2005,Senegal,SEN,10974057
2005,YR2005,Zambia,ZMB,11564870
2005,YR2005,Sudan,SDN,29540577
2006,YR2006,"Egypt, Arab Rep.",EGY,80629670
2006,YR2006,Nigeria,NGA,144329764
2006,YR2006,South Africa,ZAF,49491756
2006,YR2006,Algeria,DZA,33435080
2006,YR2006,Ethiopia,ETH,79691050
2006,YR2006,Morocco,MAR,30833022
2006,YR2006,Kenya,KEN,36925253
2006,YR2006,Angola,AGO,20162340
2006,YR2006,Tanzania,TZA,40562052
2006,YR2006,Cote d'Ivoire,CIV,19394057
2006,YR2006,Ghana,GHA,23098586
2006,YR2006,"Congo, Dem. Rep.",COD,58381630
2006,YR2006,Uganda,UGA,28773227
2006,YR2006,Tunisia,TUN,10483558
2006,YR2006,Cameroon,CMR,17751333
2006,YR2006,Zimbabwe,ZWE,12330490
2006,YR2006,Libya,LBY,5973369
2006,YR2006,Senegal,SEN,11263387
2006,YR2006,Zambia,ZMB,11971567
2006,YR2006,Sudan,SDN,30332968
2007,YR2007,"Egypt, Arab Rep.",EGY,82218755
2007,YR2007,Nigeria,NGA,148294028
2007,YR2007,South Africa,ZAF,49996094
2007,YR2007,Algeria,DZA,33983827
2007,YR2007,Ethiopia,ETH,81996185
2007,YR2007,Morocco,MAR,31232633
2007,YR2007,Kenya,KEN,38036793
2007,YR2007,Angola,AGO,20909684
2007,YR2007,Tanzania,TZA,41716497
2007,YR2007,Cote d'Ivoire,CIV,19817700
2007,YR2007,Ghana,GHA,23708320
2007,YR2007,"Congo, Dem. Rep.",COD,60289422
2007,YR2007,Uganda,UGA,29629804
2007,YR2007,Tunisia,TUN,10580395
2007,YR2007,Cameroon,CMR,18251866
2007,YR2007,Zimbabwe,ZWE,12450568
2007,YR2007,Libya,LBY,6097177
2007,YR2007,Senegal,SEN,11563869
2007,YR2007,Zambia,ZMB,12402073
2007,YR2007,Sudan,SDN,31191163
2008,YR2008,"Egypt, Arab Rep.",EGY,83844783
2008,YR2008,Nigeria,NGA,152382506
2008,YR2008,South Africa,ZAF,50565812
2008,YR2008,Algeria,DZA,34569592
2008,YR2008,Ethiopia,ETH,84357105
2008,YR2008,Morocco,MAR,31634992
2008,YR2008,Kenya,KEN,39186895
2008,YR2008,Angola,AGO,21691522
2008,YR2008,Tanzania,TZA,42870884
2008,YR2008,Cote d'Ivoire,CIV,20244449
2008,YR2008,Ghana,GHA,24326087
2008,YR2008,"Congo, Dem. Rep.",COD,62249724
2008,YR2008,Uganda,UGA,30509862
2008,YR2008,Tunisia,TUN,10680380
2008,YR2008,Cameroon,CMR,18777081
2008,YR2008,Zimbabwe,ZWE,12550347
2008,YR2008,Libya,LBY,6228370
2008,YR2008,Senegal,SEN,11872929
2008,YR2008,Zambia,ZMB,12852966
2008,YR2008,Sudan,SDN,32065241
2009,YR2009,"Egypt, Arab Rep.",EGY,85501064
2009,YR2009,Nigeria,NGA,156595758
2009,YR2009,South Africa,ZAF,51170779
2009,YR2009,Algeria,DZA,35196037
2009,YR2009,Ethiopia,ETH,86755585
2009,YR2009,Morocco,MAR,32042877
2009,YR2009,Kenya,KEN,40364444
2009,YR2009,Angola,AGO,22507674
2009,YR2009,Tanzania,TZA,43957933
2009,YR2009,Cote d'Ivoire,CIV,20677762
2009,YR2009,Ghana,GHA,24950762
2009,YR2009,"Congo, Dem. Rep.",COD,64270232
2009,YR2009,Uganda,UGA,31412520
2009,YR2009,Tunisia,TUN,10784504
2009,YR2009,Cameroon,CMR,19319274
2009,YR2009,Zimbabwe,ZWE,12679810
2009,YR2009,Libya,LBY,6360191
2009,YR2009,Senegal,SEN,12195029
2009,YR2009,Zambia,ZMB,13318087
2009,YR2009,Sudan,SDN,32948155
2010,YR2010,"Egypt, Arab Rep.",EGY,87252413
2010,YR2010,Nigeria,NGA,160952853
2010,YR2010,South Africa,ZAF,51784921
2010,YR2010,Algeria,DZA,35856344
2010,YR2010,Ethiopia,ETH,89237791
2010,YR2010,Morocco,MAR,32464865
2010,YR2010,Kenya,KEN,41517895
2010,YR2010,Angola,AGO,23364185
2010,YR2010,Tanzania,TZA,45110527
2010,YR2010,Cote d'Ivoire,CIV,21120042
2010,YR2010,Ghana,GHA,25574719
2010,YR2010,"Congo, Dem. Rep.",COD,66391257
2010,YR2010,Uganda,UGA,32341728
2010,YR2010,Tunisia,TUN,10895063
2010,YR2010,Cameroon,CMR,19878036
2010,YR2010,Zimbabwe,ZWE,12839771
2010,YR2010,Libya,LBY,6491988
2010,YR2010,Senegal,SEN,12530121
2010,YR2010,Zambia,ZMB,13792086
2010,YR2010,Sudan,SDN,33739933
2011,YR2011,"Egypt, Arab Rep.",EGY,89200054
2011,YR2011,Nigeria,NGA,165463745
2011,YR2011,South Africa,ZAF,52443325
2011,YR2011,Algeria,DZA,36543541
2011,YR2011,Ethiopia,ETH,91817929
2011,YR2011,Morocco,MAR,32903699
2011,YR2011,Kenya,KEN,42635144
2011,YR2011,Angola,AGO,24259111
2011,YR2011,Tanzania,TZA,46416031
2011,YR2011,Cote d'Ivoire,CIV,21562914
2011,YR2011,Ghana,GHA,26205941
2011,YR2011,"Congo, Dem. Rep.",COD,68654269
2011,YR2011,Uganda,UGA,33295738
2011,YR2011,Tunisia,TUN,11032528
2011,YR2011,Cameroon,CMR,20448873
2011,YR2011,Zimbabwe,ZWE,13025785
2011,YR2011,Libya,LBY,6188132
2011,YR2011,Senegal,SEN,12875880
2011,YR2011,Zambia,ZMB,14265814
2011,YR2011,Sudan,SDN,34419624
2012,YR2012,"Egypt, Arab Rep.",EGY,91240376
2012,YR2012,Nigeria,NGA,170075932
2012,YR2012,South Africa,ZAF,53145033
2012,YR2012,Algeria,DZA,37260563
2012,YR2012,Ethiopia,ETH,94451280
2012,YR2012,Morocco,MAR,33352169
2012,YR2012,Kenya,KEN,43725806
2012,YR2012,Angola,AGO,25188292
2012,YR2012,Tanzania,TZA,47786137
2012,YR2012,Cote d'Ivoire,CIV,22010712
2012,YR2012,Ghana,GHA,26858762
2012,YR2012,"Congo, Dem. Rep.",COD,70997870
2012,YR2012,Uganda,UGA,34273295
2012,YR2012,Tunisia,TUN,11174383
2012,YR2012,Cameroon,CMR,21032684
2012,YR2012,Zimbabwe,ZWE,13265331
2012,YR2012,Libya,LBY,5869870
2012,YR2012,Senegal,SEN,13231833
2012,YR2012,Zambia,ZMB,14744658
2012,YR2012,Sudan,SDN,35159792
2013,YR2013,"Egypt, Arab Rep.",EGY,93377890
2013,YR2013,Nigeria,NGA,174726123
2013,YR2013,South Africa,ZAF,53873616
2013,YR2013,Algeria,DZA,38000626
2013,YR2013,Ethiopia,ETH,97084366
2013,YR2013,Morocco,MAR,33803527
2013,YR2013,Kenya,KEN,44792368
2013,YR2013,Angola,AGO,26147002
2013,YR2013,Tanzania,TZA,49253643
2013,YR2013,Cote d'Ivoire,CIV,22469268
2013,YR2013,Ghana,GHA,27525597
2013,YR2013,"Congo, Dem. Rep.",COD,73460021
2013,YR2013,Uganda,UGA,35273570
2013,YR2013,Tunisia,TUN,11300284
2013,YR2013,Cameroon,CMR,21632850
2013,YR2013,Zimbabwe,ZWE,13555422
2013,YR2013,Libya,LBY,5985221
2013,YR2013,Senegal,SEN,13595566
2013,YR2013,Zambia,ZMB,15234976
2013,YR2013,Sudan,SDN,35990704
2014,YR2014,"Egypt, Arab Rep.",EGY,95592324
2014,YR2014,Nigeria,NGA,179379016
2014,YR2014,South Africa,ZAF,54729551
2014,YR2014,Algeria,DZA,38760168
2014,YR2014,Ethiopia,ETH,99746766
2014,YR2014,Morocco,MAR,34248603
2014,YR2014,Kenya,KEN,45831863
2014,YR2014,Angola,AGO,27128337
2014,YR2014,Tanzania,TZA,50814552
2014,YR2014,Cote d'Ivoire,CIV,22995555
2014,YR2014,Ghana,GHA,28196358
2014,YR2014,"Congo, Dem. Rep.",COD,76035588
2014,YR2014,Uganda,UGA,36336539
2014,YR2014,Tunisia,TUN,11428948
2014,YR2014,Cameroon,CMR,22299585
2014,YR2014,Zimbabwe,ZWE,13855753
2014,YR2014,Libya,LBY,6097764
2014,YR2014,Senegal,SEN,13970308
2014,YR2014,Zambia,ZMB,15737793
2014,YR2014,Sudan,SDN,37003245
2015,YR2015,"Egypt, Arab Rep.",EGY,97723799
2015,YR2015,Nigeria,NGA,183995785
2015,YR2015,South Africa,ZAF,55876504
2015,YR2015,Algeria,DZA,39543154
2015,YR2015,Ethiopia,ETH,102471895
2015,YR2015,Morocco,MAR,34680458
2015,YR2015,Kenya,KEN,46851488
2015,YR2015,Angola,AGO,28127721
2015,YR2015,Tanzania,TZA,52542823
2015,YR2015,Cote d'Ivoire,CIV,23596741
2015,YR2015,Ghana,GHA,28870939
2015,YR2015,"Congo, Dem. Rep.",COD,78656904
2015,YR2015,Uganda,UGA,37477356
2015,YR2015,Tunisia,TUN,11557779
2015,YR2015,Cameroon,CMR,23012646
2015,YR2015,Zimbabwe,ZWE,14154937
2015,YR2015,Libya,LBY,6192235
2015,YR2015,Senegal,SEN,14356181
2015,YR2015,Zambia,ZMB,16248230
2015,YR2015,Sudan,SDN,38171178
2016,YR2016,"Egypt, Arab Rep.",EGY,99784030
2016,YR2016,Nigeria,NGA,188666931
2016,YR2016,South Africa,ZAF,56422274
2016,YR2016,Algeria,DZA,40339329
2016,YR2016,Ethiopia,ETH,105293228
2016,YR2016,Morocco,MAR,35107264
2016,YR2016,Kenya,KEN,47894670
2016,YR2016,Angola,AGO,29154746
2016,YR2016,Tanzania,TZA,54401802
2016,YR2016,Cote d'Ivoire,CIV,24213622
2016,YR2016,Ghana,GHA,29554303
2016,YR2016,"Congo, Dem. Rep.",COD,81430977
2016,YR2016,Uganda,UGA,38748299
2016,YR2016,Tunisia,TUN,11685667
2016,YR2016,Cameroon,CMR,23711630
2016,YR2016,Zimbabwe,ZWE,14452704
2016,YR2016,Libya,LBY,6282196
2016,YR2016,Senegal,SEN,14751356
2016,YR2016,Zambia,ZMB,16767761
2016,YR2016,Sudan,SDN,39377169
2017,YR2017,"Egypt, Arab Rep.",EGY,101789386
2017,YR2017,Nigeria,NGA,193495907
2017,YR2017,South Africa,ZAF,56641209
2017,YR2017,Algeria,DZA,41136546
2017,YR2017,Ethiopia,ETH,108197950
2017,YR2017,Morocco,MAR,35528115
2017,YR2017,Kenya,KEN,48948137
2017,YR2017,Angola,AGO,30208628
2017,YR2017,Tanzania,TZA,56267032
2017,YR2017,Cote d'Ivoire,CIV,24848016
2017,YR2017,Ghana,GHA,30222262
2017,YR2017,"Congo, Dem. Rep.",COD,84283273
2017,YR2017,Uganda,UGA,40127085
2017,YR2017,Tunisia,TUN,11811443
2017,YR2017,Cameroon,CMR,24393181
2017,YR2017,Zimbabwe,ZWE,14751101
2017,YR2017,Libya,LBY,6378261
2017,YR2017,Senegal,SEN,15157793
2017,YR2017,Zambia,ZMB,17298054
2017,YR2017,Sudan,SDN,40679828
2018,YR2018,"Egypt, Arab Rep.",EGY,103740765
2018,YR2018,Nigeria,NGA,198387623
2018,YR2018,South Africa,ZAF,57339635
2018,YR2018,Algeria,DZA,41927007
2018,YR2018,Ethiopia,ETH,111129438
2018,YR2018,Morocco,MAR,35927511
2018,YR2018,Kenya,KEN,49953304
2018,YR2018,Angola,AGO,31273533
2018,YR2018,Tanzania,TZA,58090443
2018,YR2018,Cote d'Ivoire,CIV,25493988
2018,YR2018,Ghana,GHA,30870641
2018,YR2018,"Congo, Dem. Rep.",COD,87087355
2018,YR2018,Uganda,UGA,41515395
2018,YR2018,Tunisia,TUN,11933041
2018,YR2018,Cameroon,CMR,25076747
2018,YR2018,Zimbabwe,ZWE,15052184
2018,YR2018,Libya,LBY,6477793
2018,YR2018,Senegal,SEN,15574909
2018,YR2018,Zambia,ZMB,17835893
2018,YR2018,Sudan,SDN,41999059
2019,YR2019,"Egypt, Arab Rep.",EGY,105618671
2019,YR2019,Nigeria,NGA,203304492
2019,YR2019,South Africa,ZAF,58087055
2019,YR2019,Algeria,DZA,42705368
2019,YR2019,Ethiopia,ETH,114120594
2019,YR2019,Morocco,MAR,36304408
2019,YR2019,Kenya,KEN,50951450
2019,YR2019,Angola,AGO,32353588
2019,YR2019,Tanzania,TZA,59872579
2019,YR2019,Cote d'Ivoire,CIV,26147551
2019,YR2019,Ghana,GHA,31522290
2019,YR2019,"Congo, Dem. Rep.",COD,89906890
2019,YR2019,Uganda,UGA,42949080
2019,YR2019,Tunisia,TUN,12049314
2019,YR2019,Cameroon,CMR,25782341
2019,YR2019,Zimbabwe,ZWE,15354608
2019,YR2019,Libya,LBY,6569088
2019,YR2019,Senegal,SEN,16000781
2019,YR2019,Zambia,ZMB,18380477
2019,YR2019,Sudan,SDN,43232093
2020,YR2020,"Egypt, Arab Rep.",EGY,107465134
2020,YR2020,Nigeria,NGA,208327405
2020,YR2020,South Africa,ZAF,58801927
2020,YR2020,Algeria,DZA,43451666
2020,YR2020,Ethiopia,ETH,117190911
2020,YR2020,Morocco,MAR,36688772
2020,YR2020,Kenya,KEN,51985780
2020,YR2020,Angola,AGO,33428486
2020,YR2020,Tanzania,TZA,61704518
2020,YR2020,Cote d'Ivoire,CIV,26811790
2020,YR2020,Ghana,GHA,32180401
2020,YR2020,"Congo, Dem. Rep.",COD,92853164
2020,YR2020,Uganda,UGA,44404611
2020,YR2020,Tunisia,TUN,12161723
2020,YR2020,Cameroon,CMR,26491087
2020,YR2020,Zimbabwe,ZWE,15669666
2020,YR2020,Libya,LBY,6653942
2020,YR2020,Senegal,SEN,16436120
2020,YR2020,Zambia,ZMB,18927715
2020,YR2020,Sudan,SDN,44440486
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 03/28/2024,,,,
